Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",5,4.11,Time Warner Books UK,Paperback,195,2001,1997,,2018/11/19,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",4,4.13,Dutton Books,Hardcover,313,2012,2012,,2018/11/19,,,read,,,,1,0
105576,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,"Bhagat, Chetan",,"=""8129104598""","=""9788129104595""",3,3.43,Rupa Publications,Paperback,267,2011,2004,,2018/06/17,,,read,,,,1,0
7184066,Fault Lines: How Hidden Fractures Still Threaten the World Economy,Raghuram G. Rajan,"Rajan, Raghuram G.",,"=""0691146837""","=""9780691146836""",4,4.11,Princeton University Press,Hardcover,260,2010,2010,2018/06/16,2017/10/01,,,read,,,,1,0
29965800,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",5,3.88,HarperOne,Kindle Edition,229,2016,2016,2018/06/15,2018/06/15,,,read,,,,1,0
35522251,Advice and Dissent: My Life in Public Service,Y.V. Reddy,"Reddy, Y.V.",,"=""9352643003""","=""9789352643004""",4,4.07,Harper Business,Hardcover,552,2017,,2017/10/25,2017/09/30,,,read,,,,2,0
24908389,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,"Murty, Sudha",,"=""""","=""""",4,4.15,Penguin,Kindle Edition,256,2015,2015,,2018/05/22,,,read,,,,1,0
11063502,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1408806177""","=""""",5,4.44,Bloomsbury Publishing,Kindle Edition,433,2009,2007,2018/05/22,2017/12/12,,,read,,,,1,0
36065279,I Do What I Do,Rajan Raghuram G,"G, Rajan Raghuram",,"=""9352770145""","=""9789352770144""",5,4.02,Harper Collins,Hardcover,344,2017,2017,,2017/09/30,,,read,,,,1,0
12820793,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,"Tripathi, Amish",,"=""9382618341""","=""9789382618348""",4,3.83,Westland,Paperback,575,2013,2013,2018/02/26,2017/12/05,,,read,,,,1,0
27259681,An Economist in the Real World: The Art of Policymaking in India (The MIT Press),Kaushik Basu,"Basu, Kaushik",,"=""""","=""""",0,4.06,The MIT Press,Kindle Edition,257,2015,2015,,2017/12/29,to-read,to-read (#7),to-read,,,,0,0
25211791,Marketing Management: A South Asian Perspective,Philip Kotler,"Kotler, Philip",,"=""8131767167""","=""""",3,4.28,Pearson,Paperback,728,,2009,,2017/12/12,,,read,,,,1,0
22883646,How to Win Friends and Influence People / How to Stop Worrying and Start Living / The Art of Public Speaking,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.48,Business and Leadership Publishing,Kindle Edition,942,2014,2014,,2017/12/12,,,read,,,,1,0
32074623,World War 1: A History From Beginning to End,Henry Freeman,"Freeman, Henry",,"=""""","=""""",0,4.06,CreateSpace Independent Publishing Platform,Kindle Edition,46,2016,2016,,2017/12/12,to-read,to-read (#6),to-read,,,,0,0
30976376,The Art of Public Speaking,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,3.90,Prabhat Prakashan,Kindle Edition,234,2016,1915,,2017/12/11,currently-reading,currently-reading (#4),currently-reading,,,,1,0
14082,Malgudi Days,R.K. Narayan,"Narayan, R.K.",Jhumpa Lahiri,"=""0143039652""","=""9780143039655""",4,4.21,Penguin Classics,Paperback,264,2006,1943,2017/12/05,2017/09/30,,,read,,,,1,0
11827808,The Secret of the Nagas (Shiva Trilogy #2),Amish Tripathi,"Tripathi, Amish",,"=""""","=""97893806587""",4,4.10,Westland,Paperback,371,2011,2011,,2017/12/05,,,read,,,,1,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",5,4.01,William Morrow,Hardcover,268,2006,2005,,2017/01/06,,,read,,,,1,0
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",4,4.22,Gallery Books,Paperback,288,1998,1936,,2017/10/25,,,read,,,,1,0
7913305,"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,"Tripathi, Amish",,"=""""","=""""",5,4.13,Westland ,Paperback,436,2010,2010,2017/10/24,2017/10/01,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",5,4.35,Riverhead Books,Paperback,371,2004,2003,,2017/01/06,,,read,,,,1,0
303615,"The General Theory of Employment, Interest, and Money (Great Minds)",John Maynard Keynes,"Keynes, John Maynard",,"=""1573921394""","=""9781573921398""",0,3.85,Prometheus,Paperback,423,1997,1935,,2017/01/06,currently-reading,currently-reading (#3),currently-reading,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2017/01/06,currently-reading,currently-reading (#2),currently-reading,,,,1,0
16436658,The Service of the State: The IAS Reconsidered,Bhaskar Ghose,"Ghose, Bhaskar",,"=""8184755759""","=""9788184755756""",0,3.49,Viking,ebook,320,2011,2011,,2017/09/30,to-read,to-read (#5),to-read,,,,0,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",4,4.16,Free Press,Paperback,372,2004,1989,,2017/09/30,,,read,,,,1,0
77103,The Glass Palace,Amitav Ghosh,"Ghosh, Amitav",,"=""0375758771""","=""9780375758775""",0,4.00,Random House Trade Paperbacks,Paperback,486,2002,2000,,2017/09/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
15056959,Case Interview Secrets: A Former McKinsey Interviewer Reveals How to Get Multiple Job Offers in Consulting,Victor Cheng,"Cheng, Victor",,"=""0984183523""","=""9780984183524""",4,4.11,Innovation Press,Paperback,292,2012,2012,,2017/09/30,,,read,,,,1,0
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam","George J. Stigler, Edwin Cannan","=""0226763749""","=""9780226763743""",4,3.88,University Of Chicago Press,Paperback,1076,1977,1776,,2017/01/06,,,read,,,,1,0
6691186,How Markets Fail: The Logic of Economic Calamities,John Cassidy,"Cassidy, John",,"=""0374173206""","=""9780374173203""",0,4.06,"Farrar, Straus and Giroux",Hardcover,400,2009,2009,,2017/01/06,to-read,to-read (#4),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2017/01/06,,,read,,,,1,0
356824,India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,"Guha, Ramachandra",,"=""0060198818""","=""9780060198817""",4,4.39,Ecco,Hardcover,912,2007,2007,,2017/01/06,,,read,,,,1,0
1215307,Macroeconomics: Understanding the Wealth Of Nations,David Miles,"Miles, David",,"=""0470868929""","=""9780470868928""",4,3.69,WILEY ACADEMIC (WILE,Paperback,,2004,2001,,2017/01/06,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",3,3.91,HarperCollins,Paperback,197,1993,1988,,2017/01/06,,,read,,,,1,0
70420,The Undercover Economist,Tim Harford,"Harford, Tim",,"=""0195189779""","=""9780195189773""",5,3.81,Oxford University Press,Hardcover,288,2005,2005,,2017/01/06,,,read,,,,1,0
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""0307719219""","=""9780307719218""",0,4.08,Crown Currency,Hardcover,529,2012,2012,,2017/01/06,to-read,to-read (#3),to-read,,,,0,0
10245602,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""1586487981""","=""9781586487980""",0,4.28,PublicAffairs,Hardcover,320,2011,2011,,2017/01/06,to-read,to-read (#2),to-read,,,,0,0
51877,Capitalism and Freedom,Milton Friedman,"Friedman, Milton",,"=""0226264211""","=""9780226264219""",0,3.91,University of Chicago Press,Paperback,208,2002,1962,,2017/01/06,to-read,to-read (#1),to-read,,,,0,0
